Symbol,Current Ratio,Quick Ratio,Gross Profit Margin,Operating Profit Margin,Net Profit Margin,Inventory Turnover,Receivables Turnover,Debt to Equity Ratio,Debt Ratio,Interest Coverage Ratio,Return on Assets,Return on Equity,Return on Investments,Earnings per Share,Revenue Growth Rate,Earnings Growth Rate,P/E Ratio,Dividend Yield
ABB.BO,,,35.90866215347629,10.761120896182709,10.22104059367096,,,0.0066991806713757,0.0035511035894155,104.95041952707857,0.1168686968006959,0.226215969547893,,47.96,0.2381097374424899,0.9553789613438264,572.8435,0.0013163307
AEGISLOG.BO,,,12.98005501404104,8.708799371268103,6.006498174185572,,,0.3832025406749715,0.2070588475596075,27.669149056390552,0.1004801081731875,0.1737119645574494,1.4995737498707618,10.19,0.2041342122387891,0.6004986073196521,193.60608,0.004330107
AMARAJABAT.BO,,,33.37301346597113,10.618100206235594,8.411682639815602,,,0.0276530594313429,0.0197440441649284,49.1952580195258,0.0842143138210086,0.116992126649221,,30.01,0.213291575777627,-0.2075661302042267,17.90489,0.018487396
AMBALALSA.BO,,,44.8021537974254,3.626049184407592,8.501221691816928,,,0.2231632691369148,0.1160507902792528,33.40269058295964,0.2143606689699896,0.4873800477486599,,6.16,0.1984752334487752,0.6085225104921785,11.949381,
HDFC.BO,,,,,21.33262727911012,,,1.8816516141085105,0.3502056709934669,,0.0251652708260787,0.1342661158243717,,124.97,-0.0121685606793127,0.2056893094259036,21.427834,0.0073366286
ANDHRAPET.BO,,,18.424775530540508,-0.2354181865619243,0.5260870208664375,,,0.1748355644574619,0.1370861115820337,36.93566714011195,0.4164762159121927,0.5616580182530142,,26.68,0.7054154681933635,1.96486112218972,,0.015647003
ANSALAPI.BO,0.8412643201209234,0.1457990501119833,32.276146390857804,1.5080283523795748,1.153623607695646,,,-3.3225290207642835,0.1219255297069463,-0.0872261733271156,-0.0114748578085884,0.3767820281755101,,-5.2,-0.1048658882178477,0.243082637800537,,
UTIQUE.BO,,,,,,,,,,,,,,,,,,
ARUNAHTEL.BO,,,,,,,,,,,,,,,,,,
BOMDYEING.BO,,,28.55652867463227,4.877525039495683,-15.456232648741503,,,-6.079342485252454,1.0498729539679723,-0.1273210668467251,-0.1038049642911103,1.0242306922101327,,-22.29,0.6724127712536725,-0.0187585266030013,9.846469,0.0023212626
ASIANHOTNR.BO,,,66.68493324526919,18.69002673650268,-24.353579432217053,,,4.536224555633877,0.6935932388572897,-3.8781573439990713,-0.2390232703832999,-1.2768565073437814,,-218.663287,0.798291610983288,-0.387300282719756,,
ATUL.BO,2.488544803208645,1.5117646358735108,45.82604693971468,8.224909007237585,7.828306070367737,,,0.0111829908934832,0.0090568968685744,88.06835443037974,0.0896069748734784,0.1129825918592052,,,0.0820695113709087,-0.1492238440406447,31.295406,0.0022227326
ATVPR.BO,,,28.609795797573245,3.8065995856762354,3.909440662918024,,,0.3002387336689328,0.2132133888099535,742.1063829787234,0.0304554612342897,0.0431859643591212,,1.51,-0.0387458185571767,0.1571812973786239,16.283926,
BAJAJELEC.BO,,,31.22133282293511,5.625773287488635,4.177974038047454,,,0.0524315152747185,0.0227449241237518,3.456563907630623,0.0311204606873791,0.0776586312287444,,11.204378,0.0397624155445973,-0.3255387518768345,,0.0029569552
BAJAJHIND.BO,,,22.56576556428392,2.3741298817477845,-4.078722987895223,,,2.132091841477396,0.3690977751280868,-0.0690184652939092,-0.020434209772584,-0.1155343474364926,,-2.23,-0.1611879883415718,-0.0800495151640189,,
FORCEMOT.BO,,,21.52761799579709,10.123786296074732,-1.1956805178470082,,,0.6114985668270524,0.2919515426323768,-2.18213058419244,-0.026405931767281,-0.0508017960230917,,-69.13,0.6431729572153884,-0.2632856102887648,,0.007527003
BAJFINANCE.BO,,,,,43.34479937627655,,,3.1638525946636484,0.6250254742719935,,0.0471883825699018,0.2346480851696804,,,0.3379082942945268,0.6373525055383787,75.755684,0.0015649085
BALRAMCHIN*.BO,,,,,,,,,,,,,,,,,,
BANCOINDIA.BO,,,52.25936335187068,25.33636309274652,19.57982020769798,,,0.1173555486855514,0.0752107058763547,71.36126658700711,0.1109702404345502,0.1684055052535291,,21.31,0.2748014452183026,0.3402977462386015,28.14621,0.07674597
CENTURYTEX.BO,1.0316833311592928,0.2235527979900523,44.06663473133022,10.139744627430252,5.91189150795355,,,0.2725382895572999,0.1253378042604749,8.53850436073483,0.0335851685681956,0.0714941241128317,,,0.1596947990514688,0.6326187473728457,125.56391,0.0042328043
BANARISUG.BO,,,23.73804001719509,8.4763576098139,4.381616012369482,,,0.6748869923013835,0.3740020629748496,4.898531276821973,0.0322587449483727,0.0575530731756176,,63.78,0.3069531773075332,-0.1319307575428695,34.116802,0.0034686092
BASF.BO,1.4547727751633068,0.853092645922596,15.469083632379736,3.985981151691988,3.161227934847012,,,0.0520187664805999,0.0198889348977811,40.1307929969104,0.1057113712053627,0.2886010727203479,,137.4,0.3708459863483661,0.0764191744630028,,0.0012533161
BATAINDIA.BO,,,54.77421934881861,14.521944879528109,9.24128814387754,,,0.6029861372869288,0.3104014161119613,2.5051175418561056,0.0300376268720291,0.0576548607050661,,8.01,0.3976000688605626,-2.153195015171703,149.4739,0.0026575425
BEML.BO,,,43.13818143244259,7.301079105470746,6.393627588069085,,,0.352960603015118,0.1457022457464248,4.084457169153699,0.0225109001107362,0.0563516964070327,,30.927157,0.1612637239494625,0.8692161444349302,206.03165,0.0043198103
