SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
543399,Tarsons Products Ltd,Active,A,2.00,INE144Z01023,Medical Equipment & Supplies,TARSONS,Equity,https://www.bseindia.com/stock-share-price/tarsons-products-ltd/tarsons/543399/,Tarsons Products Limited,2966.52
543400,Omnipotent Industries Ltd,Active,M,10.00,INE0JFE01012,Refineries & Marketing,OMNIPOTENT,Equity,https://www.bseindia.com/stock-share-price/omnipotent-industries-ltd/omnipotent/543400/,Omnipotent Industries Limited,6.36
543401,Go Fashion (India) Ltd,Active,A,10.00,INE0BJS01011,Speciality Retail,GOCOLORS,Equity,https://www.bseindia.com/stock-share-price/go-fashion-(india)-ltd/gocolors/543401/,Go Fashion (India) Limited,6060.08
543410,DMR Hydroengineering & Infrastructures Ltd,Active,M,10.00,INE07L501010,Consulting Services,DMR,Equity,https://www.bseindia.com/stock-share-price/dmr-hydroengineering--infrastructures-ltd/dmr/543410/,DMR Hydroengineering & Infrastructures Limited,14.40
543411,Hi-Tech Pipes Ltd,Active,B,1.00,INE106T01025,Iron & Steel Products,HITECH,Equity,https://www.bseindia.com/stock-share-price/hi-tech-pipes-ltd/hitech/543411/,HI-TECH PIPES LIMITED,929.83
543412,Star Health and Allied Insurance Company Ltd,Active,A,10.00,INE575P01011,General Insurance,STARHEALTH,Equity,https://www.bseindia.com/stock-share-price/star-health-and-allied-insurance-company-ltd/starhealth/543412/,Star Health and Allied Insurance Company Limited,34704.55
543413,Tega Industries Ltd,Active,A,10.00,INE011K01018,Industrial Products,TEGA,Equity,https://www.bseindia.com/stock-share-price/tega-industries-ltd/tega/543413/,Tega Industries Limited,4580.76
543414,Mirae Asset Hang Seng TECH ETF,Active,B,10.00,INF769K01HS7,,MAHKTECH,Equity,https://www.bseindia.com/stock-share-price/mirae-asset-hang-seng-tech-etf/mahktech/543414/,Mirae Asset Mutual Fund,
543415,Anand Rathi Wealth Ltd,Active,A,5.00,INE463V01026,Financial Products Distributor,ANANDRATHI,Equity,https://www.bseindia.com/stock-share-price/anand-rathi-wealth-ltd/anandrathi/543415/,Anand Rathi Wealth Limited,3642.72
543416,Zodiac Energy Ltd,Active,T,10.00,INE761Y01019,Civil Construction,ZODIAC,Equity,https://www.bseindia.com/stock-share-price/zodiac-energy-ltd/zodiac/543416/,Zodiac Energy Limited,167.85
543417,RateGain Travel Technologies Ltd,Active,A,1.00,INE0CLI01024,Computers - Software & Consulting,RATEGAIN,Equity,https://www.bseindia.com/stock-share-price/rategain-travel-technologies-ltd/rategain/543417/,RateGain Travel Technologies Limited,3914.04
543419,Shriram Properties Ltd,Active,B,10.00,INE217L01019,Residential- Commercial Projects,SHRIRAMPPS,Equity,https://www.bseindia.com/stock-share-price/shriram-properties-ltd/shrirampps/543419/,Shriram Properties Limited,1108.51
543420,Jet Freight Logistics Ltd,Active,B,5.00,INE982V01025,Logistics Solution Provider,JETFREIGHT,Equity,https://www.bseindia.com/stock-share-price/jet-freight-logistics-ltd/jetfreight/543420/,Jet Freight Logistics Limited,50.35
543425,C.E. Info Systems Ltd,Active,A,2.00,INE0BV301023,Software Products,MAPMYINDIA,Equity,https://www.bseindia.com/stock-share-price/ce-info-systems-ltd/mapmyindia/543425/,C.E. Info Systems Limited,5871.56
543426,Metro Brands Ltd,Active,A,5.00,INE317I01021,Footwear,METROBRAND,Equity,https://www.bseindia.com/stock-share-price/metro-brands-ltd/metrobrand/543426/,Metro Brands Limited,25059.33
543427,Medplus Health Services Ltd,Active,A,2.00,INE804L01022,Pharmacy Retail,MEDPLUS,Equity,https://www.bseindia.com/stock-share-price/medplus-health-services-ltd/medplus/543427/,Medplus Health Services Limited,8576.89
543428,Data Patterns (India) Ltd,Active,A,2.00,INE0IX101010,Aerospace & Defense,DATAPATTNS,Equity,https://www.bseindia.com/stock-share-price/data-patterns-(india)-ltd/datapattns/543428/,Data Patterns (India) Limited,9590.33
543433,HP Adhesives Ltd,Active,B,10.00,INE0GSL01016,Specialty Chemicals,HPAL,Equity,https://www.bseindia.com/stock-share-price/hp-adhesives-ltd/hpal/543433/,HP Adhesives Limited,722.96
543434,Supriya Lifescience Ltd,Active,A,2.00,INE07RO01027,Pharmaceuticals,SUPRIYA,Equity,https://www.bseindia.com/stock-share-price/supriya-lifescience-ltd/supriya/543434/,Supriya Lifescience Limited,1776.66
543435,Clara Industries Ltd,Active,M,10.00,INE0JJS01014,Packaging,CLARA,Equity,https://www.bseindia.com/stock-share-price/clara-industries-ltd/clara/543435/,CLARA INDUSTRIES LIMITED,57.48
543437,Motilal Oswal Nasdaq Q 50 ETF,Active,B,10.00,INF247L01AU3,,MONQ50,Equity,https://www.bseindia.com/stock-share-price/motilal-oswal-nasdaq-q-50-etf/monq50/543437/,Motilal Oswal Mutual Fund,
543438,DSP Nifty Midcap 150 Quality 50 ETF,Active,B,10.00,INF740KA1QL0,,DSPQ50ETF,Equity,https://www.bseindia.com/stock-share-price/dsp-nifty-midcap-150-quality-50-etf/dspq50etf/543438/,DSP Mutual Fund,
543439,Brandbucket Media & Technology Ltd,Active,M,10.00,INE0ILD01014,Advertising & Media Agencies,BRANDBUCKT,Equity,https://www.bseindia.com/stock-share-price/brandbucket-media--technology-ltd/brandbuckt/543439/,Brandbucket Media & Technology Limited,6.46
543440,DSP Nifty 50 ETF,Active,B,10.00,INF740KA1CL0,,DSPN50ETF,Equity,https://www.bseindia.com/stock-share-price/dsp-nifty-50-etf/dspn50etf/543440/,DSP Mutual Fund,
543441,CMS Info Systems Ltd,Active,A,10.00,INE925R01014,Diversified Commercial Services,CMSINFO,Equity,https://www.bseindia.com/stock-share-price/cms-info-systems-ltd/cmsinfo/543441/,CMS Info Systems Limited,4543.22
543442,Brand Concepts Ltd,Active,B,10.00,INE977Y01011,Speciality Retail,BCONCEPTS,Equity,https://www.bseindia.com/stock-share-price/brand-concepts-ltd/bconcepts/543442/,Brand Concepts Limited,234.51
543444,Fabino Life Sciences Ltd,Active,M,10.00,INE0DRT01018,Pharmaceuticals,FABINO,Equity,https://www.bseindia.com/stock-share-price/fabino-life-sciences-ltd/fabino/543444/,Fabino Life Sciences Limited,6.72
543449,Wonder Electricals Ltd,Active,B,10.00,INE02WG01016,Household Appliances,WEL,Equity,https://www.bseindia.com/stock-share-price/wonder-electricals-ltd/wel/543449/,WONDER ELECTRICALS LIMITED,307.55
543450,ICICI Prudential Nifty Auto ETF,Active,B,10.00,INF109KC1Y49,,ICICIAUTO,Equity,https://www.bseindia.com/stock-share-price/icici-prudential-nifty-auto-etf/iciciauto/543450/,ICICI Prudential Mutual Fund,
543451,AGS Transact Technologies Ltd,Active,B,10.00,INE583L01014,Financial Technology (Fintech),AGSTRA,Equity,https://www.bseindia.com/stock-share-price/ags-transact-technologies-ltd/agstra/543451/,AGS TRANSACT TECHNOLOGIES LIMITED,631.54
543453,Alkosign Ltd,Active,M,10.00,INE0KA601012,Stationary,ALKOSIGN,Equity,https://www.bseindia.com/stock-share-price/alkosign-ltd/alkosign/543453/,ALKOSIGN LIMITED,40.95
543454,Mirae Asset Nifty India Manufacturing ETF,Active,B,50.00,INF769K01IB1,,MAMFGETF,Equity,https://www.bseindia.com/stock-share-price/mirae-asset-nifty-india-manufacturing-etf/mamfgetf/543454/,Mirae Asset Mutual Fund,
543458,Adani Wilmar Ltd,Active,A,1.00,INE699H01024,Edible Oil,AWL,Equity,https://www.bseindia.com/stock-share-price/adani-wilmar-ltd/awl/543458/,Adani Wilmar Limited,51577.75
543460,Quality RO Industries Ltd,Active,M,10.00,INE0KAF01018,Industrial Products,QRIL,Equity,https://www.bseindia.com/stock-share-price/quality-ro-industries-ltd/qril/543460/,Quality RO Industries Limited,20.40
543461,Safa Systems & Technologies Ltd,Active,M,10.00,INE0JNA01014,Trading & Distributors,SSTL,Equity,https://www.bseindia.com/stock-share-price/safa-systems--technologies-ltd/sstl/543461/,Safa Systems & Technologies Limited,13.95
543462,Dev Information Technology Ltd,Active,B,5.00,INE060X01026,IT Enabled Services,DEVIT,Equity,https://www.bseindia.com/stock-share-price/dev-information-technology-ltd/devit/543462/,DEV INFORMATION TECHNOLOGY LIMITED,214.79
543463,Vedant Fashions Ltd,Active,A,1.00,INE825V01034,Speciality Retail,MANYAVAR,Equity,https://www.bseindia.com/stock-share-price/vedant-fashions-ltd/manyavar/543463/,Vedant Fashions Limited,29798.82
543464,Maruti Interior Products Ltd,Active,M,10.00,INE0JSJ01014,Houseware,SPITZE,Equity,https://www.bseindia.com/stock-share-price/maruti-interior-products-ltd/spitze/543464/,Maruti Interior Products Limited,125.71
543465,Motilal Oswal Nifty 200 Momentum 30 ETF,Active,B,2.00,INF247L01BK2,,MOMOMENTUM,Equity,https://www.bseindia.com/stock-share-price/motilal-oswal-nifty-200-momentum-30-etf/momomentum/543465/,Motilal Oswal Mutual Fund,
543470,Softtech Engineers Ltd,Active,B,10.00,INE728Z01015,Computers - Software & Consulting,SOFTTECH,Equity,https://www.bseindia.com/stock-share-price/softtech-engineers-ltd/softtech/543470/,SoftTech Engineers Limited,154.27
543472,Aditya Birla Sunlife Nifty IT ETF,Active,B,1.00,INF209KB11D8,,TECH,Equity,https://www.bseindia.com/stock-share-price/aditya-birla-sunlife-nifty-it-etf/tech/543472/,Aditya Birla Sun Life Mutual Fund,
543473,Aditya Birla Sun Life Nifty Healthcare ETF,Active,B,1.00,INF209KB10C2,,HEALTHY,Equity,https://www.bseindia.com/stock-share-price/aditya-birla-sun-life-nifty-healthcare-etf/healthy/543473/,Aditya Birla Sun Life Mutual Fund,
543474,Aditya Birla Sun Life Nifty 50 ETF,Active,B,1.00,INF209KB19D1,,BSLNIFTY,Equity,https://www.bseindia.com/stock-share-price/aditya-birla-sun-life-nifty-50-etf/bslnifty/543474/,Aditya Birla Sun Life Mutual Fund,
543475,Ekennis Software Service Ltd,Active,M,10.00,INE0KCM01010,IT Enabled Services,EKENNIS,Equity,https://www.bseindia.com/stock-share-price/ekennis-software-service-ltd/ekennis/543475/,Ekennis Software Service Limited,17.50
543481,Mirae Asset Nifty Midcap 150 ETF,Active,B,5.00,INF769K01IC9,,MAM150ETF,Equity,https://www.bseindia.com/stock-share-price/mirae-asset-nifty-midcap-150-etf/mam150etf/543481/,Mirae Asset Mutual Fund,
543482,Eureka Forbes Ltd,Active,A,10.00,INE0KCE01017,Household Appliances,EUREKAFORBE,Equity,https://www.bseindia.com/stock-share-price/eureka-forbes-ltd/eurekaforbe/543482/,Eureka Forbes Limited,7432.99
543489,Gateway Distriparks Ltd,Active,A,10.00,INE079J01017,Logistics Solution Provider,GATEWAY,Equity,https://www.bseindia.com/stock-share-price/gateway-distriparks-ltd/gateway/543489/,Gateway Distriparks Limited,3171.74
543490,GMR Power and Urban Infra Ltd,Active,B,5.00,INE0CU601026,Civil Construction,GMRP&UI,Equity,https://www.bseindia.com/stock-share-price/gmr-power-and-urban-infra-ltd/gmrpui/543490/,GMR Power and Urban Infra Limited,1152.87
543497,Bhatia Colour Chem Ltd,Active,M,10.00,INE0KQ001017,Specialty Chemicals,BCCL,Equity,https://www.bseindia.com/stock-share-price/bhatia-colour-chem-ltd/bccl/543497/,Bhatia Colour Chem Limited,56.15
543498,Motherson Sumi Wiring India Ltd,Active,A,1.00,INE0FS801015,Auto Components & Equipments,MSUMI,Equity,https://www.bseindia.com/stock-share-price/motherson-sumi-wiring-india-ltd/msumi/543498/,Motherson Sumi Wiring India Limited,23710.40
543499,Achyut Healthcare Ltd,Active,M,10.00,INE0K1401012,Pharmaceuticals,ACHYUT,Equity,https://www.bseindia.com/stock-share-price/achyut-healthcare-ltd/achyut/543499/,Achyut Healthcare Limited,72.86
543500,Evoq Remedies Ltd,Active,M,10.00,INE0JVD01011,Trading & Distributors,EVOQ,Equity,https://www.bseindia.com/stock-share-price/evoq-remedies-ltd/evoq/543500/,Evoq Remedies Limited,17.86
