Symbol,Current Ratio,Quick Ratio,Gross Profit Margin,Operating Profit Margin,Net Profit Margin,Inventory Turnover,Receivables Turnover,Debt to Equity Ratio,Debt Ratio,Interest Coverage Ratio,Return on Assets,Return on Equity,Return on Investments,Earnings per Share,Revenue Growth Rate,Earnings Growth Rate,P/E Ratio,Dividend Yield
ABB.BO,1.8156282037725786,1.4890652224883572,35.5729058515719,14.0147016072096,12.679928568462145,1.1319188057262102,1.1767408106067456,0.006699180671375731,0.0035511035894155865,104.95041952707857,0.11686869680069599,0.22621596954789305,,47.96,0.23810973744248998,0.9553789613438264,584.9507,0.0012907044
AEGISLOG.BO,2.1761400367994432,1.9715749167039633,10.133363093577367,6.290106578873947,4.3426706098990016,13.04398006753496,3.78515181741041,0.3832025406749715,0.20705884755960757,27.669149056390552,0.10048010817318755,0.1737119645574494,1.4995737498707618,10.19,0.2041342122387891,0.6004986073196521,194.5125,0.0043097986
AMARAJABAT.BO,,,30.4861746288609,9.509085455494784,7.4512955152251275,1.115485291364972,3.0713509886322923,0.027653059431342917,0.019744044164928403,49.1952580195258,0.08421431382100865,0.11699212664922105,,30.01,0.213291575777627,-0.20756613020422676,18.209803,0.018012118
AMBALALSA.BO,1.158366888988313,1.0130825078987888,33.76690202642833,1.5411189232237525,2.1780208001947217,2.078152634117584,1.537833391887943,0.2231632691369148,0.11605079027925283,33.40269058295964,0.21436066896998968,0.48738004774865995,,6.16,0.1984752334487752,0.6085225104921785,12.143242,
HDFC.BO,,,,,18.636159406689533,,,1.8816516141085102,0.35020567099346694,,0.02516527082607875,0.1342661158243717,,124.97,-0.012168560679312792,0.20568930942590366,21.698345,0.0077744666
ANDHRAPET.BO,16.137911161031674,14.298345469919356,12.854322808768181,-24.529648470123757,-17.141555582068833,1.5650047381179397,26.63575431906165,0.17483556445746198,0.1370861115820337,36.93566714011195,0.4164762159121927,0.5616580182530142,,26.68,0.7054154681933635,1.96486112218972,,0.015762925
ANSALAPI.BO,0.8412643201209234,0.14579905011198335,32.276146390857804,1.5080283523795748,1.1536236076956459,0.039280657413097185,1.21444812046454,-3.3225290207642835,0.12192552970694637,-0.08722617332711562,-0.011474857808588486,0.37678202817551015,,-5.2,-0.10486588821784773,0.243082637800537,,
UTIQUE.BO,,,,,,,,,,,,,,,,,,
ARUNAHTEL.BO,,,,,,,,,,,,,,,,,,
BOMDYEING.BO,1.0297741075158253,0.32409626940008357,7.930823522389842,-15.627378127937689,-36.72053359595326,0.41154237793083825,2.138772166845739,-2.922868263713334,1.216434037067097,0.06610574624725117,-0.1430354972746575,0.5227957990165327,,,0.35360229234484397,0.12248001390337157,10.249032,0.0024554944
ASIANHOTNR.BO,0.07538738861984708,0.061836640087970296,61.61159939689554,5.383643299155186,-49.89034464544211,3.526979812174127,4.18605855351545,4.536224555633877,0.6935932388572897,-3.8781573439990713,-0.23902327038329998,-1.2768565073437814,,-218.663287,0.798291610983288,-0.387300282719756,,
ATUL.BO,2.4885448032086455,1.5117646358735108,45.82604693971468,8.224909007237585,7.828306070367737,0.7247794743205123,1.274210515093146,0.011182990893483296,0.00905689686857444,88.06835443037974,0.08960697487347845,0.11298259185920526,,,0.08206951137090873,-0.14922384404064476,31.386452,0.002231097
ATVPR.BO,2.3590649573547697,0.6889875479430463,28.12237516174679,0.743089344764701,11.517884843852865,0.27142128491276896,5.497244119054057,0.30023873366893283,0.21321338880995358,742.1063829787234,0.030455461234289723,0.04318596435912124,,1.51,-0.0387458185571767,0.15718129737862394,16.200418,
BAJAJELEC.BO,1.2736745263451879,0.845403505025074,30.2346104534026,6.349801022362089,5.014402983832026,0.8212953037742948,0.9677121909830129,0.052431515274718545,0.02274492412375185,3.456563907630623,0.031120460687379184,0.07765863122874443,,11.204378,0.03976241554459736,-0.3255387518768345,,0.0030204963
BAJAJHIND.BO,0.958525189844382,0.8025207953543964,7.758047453528789,-10.332476953302102,-12.269155206286838,0.7198422011640317,6.917387554556622,2.132091841477396,0.36909777512808684,-0.0690184652939092,-0.020434209772584064,-0.1155343474364926,,-2.23,-0.1611879883415718,-0.08004951516401898,,
FORCEMOT.BO,0.8037968956426792,0.36825785590618154,21.976631041002477,3.0227756374251427,1.522858702445276,1.4513468372685066,6.784221119012479,0.6114985668270524,0.2919515426323768,-2.1821305841924397,-0.026405931767281055,-0.050801796023091726,,-69.13,0.6431729572153884,-0.26328561028876485,,0.0076663597
BAJFINANCE.BO,,,,,43.34479937627655,,,3.1638525946636484,0.6250254742719935,,0.04718838256990188,0.23464808516968044,,,0.33790829429452685,0.6373525055383787,78.94446,0.001565374
BALRAMCHIN*.BO,,,,,,,,,,,,,,,,,,
BANCOINDIA.BO,1.870447571426825,0.7818624154920107,36.44208590738261,7.645531235382358,8.34395212671581,0.4892123183820684,1.594838646611029,0.11735554868555148,0.07521070587635477,71.36126658700711,0.1109702404345502,0.16840550525352918,,21.31,0.2748014452183026,0.3402977462386015,28.313118,0.079270706
CENTURYTEX.BO,1.0316833311592928,0.22355279799005234,44.06663473133022,10.139744627430252,5.91189150795355,0.2614434342849422,5.686148355131848,0.2725382895572999,0.1253378042604749,8.53850436073483,0.03358516856819563,0.07149412411283176,,,0.15969479905146888,0.6326187473728457,130.87079,0.0041721715
BANARISUG.BO,1.5033623542326413,0.2823205932355878,34.18801575564825,9.700200778450263,5.279153801468715,0.3222587856983496,1.9869067766156714,0.6748869923013835,0.3740020629748496,4.898531276821973,0.032258744948372796,0.05755307317561768,,63.78,0.3069531773075332,-0.13193075754286954,34.29287,0.0035395725
